usage_id,result_id,part_id,planned_qty,actual_qty,lot_number,notes
PU-001,PR-001,PART-001,1,1,LOT-2026-001,
PU-002,PR-001,PART-002,2,2,LOT-2026-010,
PU-003,PR-001,PART-003,4,4,LOT-2026-020,
PU-004,PR-001,PART-004,1,1,LOT-2026-030,
PU-005,PR-002,PART-005,1,1,LOT-2026-040,
PU-006,PR-002,PART-006,1,1,LOT-2026-050,
PU-007,PR-002,PART-008,1,1,LOT-2026-060,
PU-008,PR-002,PART-009,1,1,LOT-2026-070,
PU-009,PR-003,PART-007,3,3,LOT-2026-080,
PU-010,PR-003,PART-010,1,1,LOT-2026-090,
PU-011,PR-007,PART-001,1,1,LOT-2026-001,同ロット
PU-012,PR-007,PART-002,2,2,LOT-2026-011,
PU-013,PR-007,PART-003,4,4,LOT-2026-020,
PU-014,PR-007,PART-004,1,1,LOT-2026-031,
PU-015,PR-009,PART-018,1,1,LOT-2026-100,SMD-500用制御基板
PU-016,PR-009,PART-019,2,2,LOT-2026-110,SMD-500用IGBT
PU-017,PR-009,PART-020,1,1,LOT-2026-120,エンコーダフィードバック基板
PU-018,PR-015,PART-001,1,1,LOT-2026-002,代替品ロット
PU-019,PR-015,PART-002,2,2,LOT-2026-012,
PU-020,PR-015,PART-003,4,4,LOT-2026-022,
PU-021,PR-015,PART-004,1,1,LOT-2026-032,
PU-022,PR-016,PART-005,1,1,LOT-2026-041,
PU-023,PR-016,PART-006,1,1,LOT-2026-051,
PU-024,PR-016,PART-008,1,1,LOT-2026-061,
PU-025,PR-016,PART-009,1,1,LOT-2026-070,
PU-026,PR-017,PART-007,3,3,LOT-2026-081,
PU-027,PR-017,PART-010,1,1,LOT-2026-091,
PU-028,PR-018,PART-001,1,1,LOT-2026-002,不合格ロット調査対象
PU-029,PR-020,PART-001,1,1,LOT-2026-003,
PU-030,PR-020,PART-002,2,2,LOT-2026-013,
PU-031,PR-020,PART-003,4,4,LOT-2026-023,
PU-032,PR-020,PART-004,1,1,LOT-2026-033,
