inspection_id,result_id,inspection_item,inspection_type,measured_value,lower_limit,upper_limit,unit,pass_fail,inspector_id,inspection_datetime,notes
QI-001,PR-004,出力電流精度,機能検査,30.1,28.5,31.5,A,合格,WRK-006,2026-01-06 13:10,
QI-002,PR-004,出力電圧精度,機能検査,200.5,196.0,204.0,V,合格,WRK-006,2026-01-06 13:15,
QI-003,PR-004,保護回路動作(過電流),機能検査,35.2,34.0,36.0,A,合格,WRK-006,2026-01-06 13:18,
QI-004,PR-004,動作温度範囲確認,機能検査,55.0,,,℃,合格,WRK-006,2026-01-06 13:22,最大温度55℃以下確認
QI-005,PR-005,絶縁耐圧,最終検査,1800,1500,,V,合格,WRK-007,2026-01-06 14:05,1500V印加・漏れ電流確認
QI-006,PR-005,外観検査,最終検査,,,,,合格,WRK-007,2026-01-06 14:10,傷・汚れなし
QI-007,PR-005,銘板・ラベル確認,最終検査,,,,,合格,WRK-007,2026-01-06 14:12,
QI-008,PR-012,出力電流精度,機能検査,2.01,1.90,2.10,A,合格,WRK-006,2026-01-09 08:10,SMD-500
QI-009,PR-012,位置決め精度,機能検査,0.005,,,mm,合格,WRK-006,2026-01-09 08:18,±0.01mm以内確認
QI-010,PR-012,EtherCAT通信確認,機能検査,,,,,合格,WRK-006,2026-01-09 08:25,通信レイテンシ正常
QI-011,PR-013,絶縁耐圧,最終検査,1500,1500,,V,合格,WRK-007,2026-01-09 10:05,
QI-012,PR-013,外観検査,最終検査,,,,,合格,WRK-007,2026-01-09 10:08,
QI-013,PR-018,出力電流精度,機能検査,32.8,28.5,31.5,A,不合格,WRK-006,2026-01-31 13:12,上限31.5A超過→要因調査
QI-014,PR-018,出力電流精度(再測定),機能検査,30.9,28.5,31.5,A,合格,WRK-006,2026-01-31 13:25,調整後再測定・合格
QI-015,PR-018,出力電圧精度,機能検査,201.0,196.0,204.0,V,合格,WRK-006,2026-01-31 13:28,
QI-016,PR-019,絶縁耐圧,最終検査,1200,1500,,V,不合格,WRK-006,2026-01-31 14:08,1200Vで絶縁破壊→廃棄
QI-017,PR-019,外観検査,最終検査,,,,,不合格,WRK-006,2026-01-31 14:20,基板焦げ跡確認・廃棄確定
QI-018,PR-004,出力電流精度,機能検査,30.3,28.5,31.5,A,合格,WRK-006,2026-01-06 13:11,2台目
QI-019,PR-004,出力電圧精度,機能検査,199.8,196.0,204.0,V,合格,WRK-006,2026-01-06 13:16,2台目
QI-020,PR-022,出力電流精度,機能検査,29.8,28.5,31.5,A,合格,WRK-006,2026-03-03 13:10,進行中オーダー
