order_id,product_id,planned_qty,actual_qty,planned_start_date,actual_start_date,planned_end_date,actual_end_date,order_status,priority,customer_code,notes
PO-2026-001,PROD-001,10,10,2026-01-06,2026-01-06,2026-01-10,2026-01-10,完了,通常,CUST-001,
PO-2026-002,PROD-002,5,5,2026-01-08,2026-01-08,2026-01-12,2026-01-13,完了,通常,CUST-002,配線工程で1日遅延
PO-2026-003,PROD-001,8,8,2026-01-13,2026-01-13,2026-01-17,2026-01-17,完了,高,CUST-003,急ぎ対応
PO-2026-004,PROD-003,20,20,2026-01-15,2026-01-15,2026-01-20,2026-01-21,完了,通常,CUST-001,最終検査で微調整
PO-2026-005,PROD-004,3,3,2026-01-20,2026-01-20,2026-01-28,2026-01-29,完了,高,CUST-004,大容量品・要注意
PO-2026-006,PROD-001,15,14,2026-01-27,2026-01-27,2026-01-31,2026-02-03,完了,通常,CUST-002,1台最終検査不合格・廃棄
PO-2026-007,PROD-002,8,8,2026-02-03,2026-02-03,2026-02-07,2026-02-07,完了,通常,CUST-005,
PO-2026-008,PROD-005,10,10,2026-02-05,2026-02-05,2026-02-08,2026-02-08,完了,通常,CUST-001,
PO-2026-009,PROD-001,12,12,2026-02-10,2026-02-10,2026-02-14,2026-02-14,完了,通常,CUST-003,
PO-2026-010,PROD-003,25,25,2026-02-12,2026-02-12,2026-02-18,2026-02-19,完了,通常,CUST-006,
PO-2026-011,PROD-002,6,6,2026-02-17,2026-02-17,2026-02-21,2026-02-21,完了,高,CUST-007,
PO-2026-012,PROD-004,5,5,2026-02-20,2026-02-20,2026-02-28,2026-03-01,完了,通常,CUST-004,
PO-2026-013,PROD-001,10,0,2026-03-03,2026-03-03,2026-03-07,,進行中,通常,CUST-001,PROC-003まで完了
PO-2026-014,PROD-002,4,0,2026-03-05,2026-03-05,2026-03-09,,進行中,高,CUST-002,PROC-002まで完了
PO-2026-015,PROD-005,12,0,2026-03-06,2026-03-06,2026-03-10,,進行中,通常,CUST-005,PROC-001まで完了
