part_id,part_name,part_category,part_number,supplier_name,unit_price_jpy,lead_time_days,stock_unit,description,alternative_part_id
PART-001,IGBTモジュール 200A,半導体,IM-200A-001,富士電機,45000,14,個,200A/1200V IGBTモジュール・インバータ主回路用,PART-011
PART-002,電解コンデンサ 2200μF,コンデンサ,EC-2200-400V,日本ケミコン,3200,7,個,2200μF/400V・平滑回路用大型コンデンサ,PART-012
PART-003,フィルムコンデンサ 0.1μF,コンデンサ,FC-100N-630V,村田製作所,80,3,個,0.1μF/630V・スナバ回路用,PART-013
PART-004,制御基板 IVC-3000用,基板,CB-IVC3000-REV3,自社製造,12000,21,枚,IVC-3000専用制御基板・マイコン/ゲートドライバ搭載,
PART-005,アルミ筐体 L型,筐体,HS-L300-AL,アルミ製品工業,8500,10,個,300×200×150mm アルミダイカスト筐体,
PART-006,放熱フィン 大,放熱部品,HF-300-AL,熱対策技研,2200,5,個,アルミ押出型放熱フィン・IGBT取付用,PART-014
PART-007,電源コネクタ 3P,コネクタ,CN-3P-30A,日本航空電子,650,3,個,3極・30A対応・入力電源接続用,PART-015
PART-008,スイッチング電源 24V/5A,電源ユニット,PS-24V5A-DIN,オムロン,4800,7,個,DINレール取付型・制御回路用電源,PART-016
PART-009,冷却ファン 92mm,冷却部品,FAN-92-24V,山洋電気,1800,5,個,92mm角/24V DC・強制空冷用ファン,PART-017
PART-010,ケーブルハーネス IVC-3000,配線部品,WH-IVC3000-001,自社製造,3500,14,セット,IVC-3000内部配線用ハーネスセット,
PART-011,IGBTモジュール 200A (代替),半導体,IM-200A-ALT,三菱電機,47000,21,個,200A/1200V 代替品・富士電機品と互換,
PART-012,電解コンデンサ 2200μF (代替),コンデンサ,EC-2200-ALT,ニチコン,3400,10,個,2200μF/400V 代替品,
PART-013,フィルムコンデンサ 0.1μF (代替),コンデンサ,FC-100N-ALT,TDK,90,5,個,0.1μF/630V 代替品,
PART-014,放熱フィン 大 (代替),放熱部品,HF-300-ALT,熱技研,2400,7,個,代替放熱フィン・取付穴位置同一,
PART-015,電源コネクタ 3P (代替),コネクタ,CN-3P-ALT,モレックス,700,5,個,3極・30A対応・代替品,
PART-016,スイッチング電源 24V/5A (代替),電源ユニット,PS-24V5A-ALT,パナソニック,5100,10,個,DINレール取付型・代替品,
PART-017,冷却ファン 92mm (代替),冷却部品,FAN-92-ALT,日本電産,1900,7,個,92mm角/24V DC・代替品,
PART-018,制御基板 SMD-500用,基板,CB-SMD500-REV2,自社製造,15000,21,枚,SMD-500専用制御基板・DSP搭載,
PART-019,IGBTモジュール 50A,半導体,IM-050A-001,富士電機,18000,14,個,50A/600V IGBTモジュール・SMD-500用,
PART-020,エンコーダフィードバック基板,基板,CB-ENC-REV1,自社製造,8000,21,枚,SMD-500用エンコーダ入力基板,
